sample,true_label,predicted_label,score,threshold,brightness_mean,brightness_std,laplacian_var,motion_ratio
1,NORMAL,NORMAL,0.00000220,0.00080177,116.868,13.116,39.721,0.000000
2,NORMAL,NORMAL,0.00000213,0.00080177,110.831,12.776,38.386,0.000000
3,NORMAL,NORMAL,0.00000204,0.00080177,113.794,12.874,39.217,0.000000
4,NORMAL,NORMAL,0.00000250,0.00080177,117.649,13.085,41.607,0.000000
5,NORMAL,NORMAL,0.00000203,0.00080177,115.814,12.859,39.090,0.000000
6,ABNORMAL,NORMAL,0.00000777,0.00080177,159.833,12.855,39.040,1.000000
7,ABNORMAL,ABNORMAL,0.02103292,0.00080177,129.629,45.133,226.209,1.000000
8,ABNORMAL,ABNORMAL,0.00542972,0.00080177,104.171,33.064,79.543,0.256523
9,NORMAL,NORMAL,0.00000202,0.00080177,116.847,12.844,39.108,0.150000
10,NORMAL,NORMAL,0.00000191,0.00080177,113.852,12.850,39.172,0.000000
11,NORMAL,NORMAL,0.00000204,0.00080177,112.879,12.822,38.581,0.000000
12,NORMAL,NORMAL,0.00000204,0.00080177,112.861,12.838,39.174,0.000000
13,ABNORMAL,ABNORMAL,0.02104210,0.00080177,129.668,45.119,225.898,0.106523
14,NORMAL,NORMAL,0.00000249,0.00080177,114.365,12.431,37.605,0.106523
15,NORMAL,NORMAL,0.00000215,0.00080177,119.853,12.830,39.072,0.000000
16,NORMAL,NORMAL,0.00000210,0.00080177,113.847,12.818,39.287,0.000000
17,NORMAL,NORMAL,0.00000260,0.00080177,116.081,13.156,41.931,0.000000
18,NORMAL,NORMAL,0.00000221,0.00080177,112.848,12.780,38.366,0.000000
19,ABNORMAL,ABNORMAL,0.02112373,0.00080177,129.667,45.125,226.207,0.106523
20,ABNORMAL,ABNORMAL,0.00556498,0.00080177,104.001,33.033,80.942,0.256523
21,NORMAL,NORMAL,0.00000217,0.00080177,113.921,12.631,37.326,0.150000
22,NORMAL,NORMAL,0.00000196,0.00080177,114.779,12.823,39.307,0.000000
23,NORMAL,NORMAL,0.00000210,0.00080177,112.753,12.822,38.934,0.000000
24,NORMAL,NORMAL,0.00000262,0.00080177,114.238,13.233,41.308,0.000000
25,ABNORMAL,ABNORMAL,0.02126290,0.00080177,129.628,45.142,226.349,0.106523
26,ABNORMAL,ABNORMAL,0.00564894,0.00080177,103.832,32.994,81.433,0.256523
27,NORMAL,NORMAL,0.00000231,0.00080177,114.704,12.765,39.135,0.150000
28,NORMAL,NORMAL,0.00000223,0.00080177,110.656,12.816,38.850,0.000000
29,ABNORMAL,ABNORMAL,0.00568965,0.00080177,103.728,32.969,82.770,0.150000
30,NORMAL,NORMAL,0.00000210,0.00080177,111.609,12.822,38.948,0.150000
